3Alpha_Code,Taxonomic_Code,Name_en,Scientific_Name
ORB,1070401506,Brownbanded bambooshark,Chiloscyllium punctatum
KYL,1070401507,Burmese bambooshark,Chiloscyllium burmensis
YYL,1070401508,Hasselt's bambooshark,Chiloscyllium hasselti
OQX,10704015XX,Bamboosharks nei,Chiloscyllium spp
RHN,1070500401,Whale shark,Rhincodon typus
OBW,1070600101,Blind shark,Brachaelurus waddi
OBH,1070600201,Bluegray carpetshark,Heteroscyllium colcloughi
OPC,1070700101,Barbelthroat carpetshark,Cirrhoscyllium expolitum
OPF,1070700102,Taiwan saddled carpetshark,Cirrhoscyllium formosanum
OPJ,1070700103,Saddle carpetshark,Cirrhoscyllium japonicum
OPY,1070700201,Collared carpetshark,Parascyllium collare
OPE,1070700202,Rusty carpetshark,Parascyllium ferrugineum
OPV,1070700204,Necklace carpetshark,Parascyllium variolatum
OCX,107XXXXXXX,Carpet sharks,Orectolobiformes
GAA,1080100101,Roughtail catshark,Galeus arae
GAB,1080100102,Australian sawtail catshark,Galeus boardmani
GAE,1080100103,Gecko catshark,Galeus eastmani
SHO,1080100104,Blackmouth catshark,Galeus melastomus
GAO,1080100105,,Galeus longirostris
GAM,1080100106,Mouse catshark,Galeus murinus
GAN,1080100107,Broadfin sawtail catshark,Galeus nipponensis
GAP,1080100108,Peppered catshark,Galeus piperatus
GAQ,1080100109,African sawtail catshark,Galeus polli
GAI,1080100110,Blacktip sawtail catshark,Galeus sauteri
GAH,1080100111,Dwarf sawtail catshark,Galeus schultzi
GHA,1080100112,Atlantic sawtail catshark,Galeus atlanticus
GAU,10801001XX,Crest-tail catsharks nei,Galeus spp
SYC,1080100301,Small-spotted catshark,Scyliorhinus canicula
SYT,1080100302,Nursehound,Scyliorhinus stellaris
SYB,1080100303,Polkadot catshark,Scyliorhinus besnardi
SYA,1080100304,Boa catshark,Scyliorhinus boa
SYP,1080100305,Yellowspotted catshark,Scyliorhinus capensis
SYE,1080100306,West African catshark,Scyliorhinus cervigoni
SYG,1080100307,Brownspotted catshark,Scyliorhinus garmani
SYH,1080100308,Freckled catshark,Scyliorhinus haeckelii
SYU,1080100309,Whitesaddled catshark,Scyliorhinus hesperius
SYM,1080100310,Blotched catshark,Scyliorhinus meadi
SYF,1080100311,Chain catshark,Scyliorhinus retifer
SYK,1080100312,,Scyliorhinus tokubee
SYZ,1080100313,Cloudy catshark,Scyliorhinus torazame
SYI,1080100314,Dwarf catshark,Scyliorhinus torrei
SCL,10801003XX,"Catsharks, nursehounds nei",Scyliorhinus spp
SHV,1080100401,Narrowmouthed catshark,Schroederichthys bivius
SHY,1080100402,Redspotted catshark,Schroederichthys chilensis
SHU,1080100403,Narrowtail catshark,Schroederichthys maculatus
SHN,1080100404,Slender catshark,Schroederichthys tenuis
ASY,1080100501,Australian spotted catshark,Asymbolus analis
ASV,1080100502,Gulf catshark,Asymbolus vincenti
AXM,10801005XX,,Asymbolus spp
ATM,1080100701,Australian marbled catshark,Atelomycterus macleayi
ATY,1080100702,Coral catshark,Atelomycterus marmoratus
HPE,1080100901,Puffadder shyshark,Haploblepharus edwardsii
HPF,1080100902,Brown shyshark,Haploblepharus fuscus
HPP,1080100903,Dark shyshark,Haploblepharus pictus
HOP,1080101101,African spotted catshark,Holohalaelurus punctatus
HOR,1080101102,Izak catshark,Holohalaelurus regani
PAH,1080101301,Campeche catshark,Parmaturus campechiensis
PAE,1080101302,McMillan's cat shark,Parmaturus macmillani
PAV,1080101303,Blackgill catshark,Parmaturus melanobranchius
PAW,1080101304,Salamander shark,Parmaturus pilosus
PAY,1080101305,Filetail catshark,Parmaturus xaniurus
CSA,1080101401,,Apristurus acanutus
CSU,1080101402,Atlantic ghost catshark,Apristurus atlanticus
CSN,1080101403,Brown catshark,Apristurus brunneus
CSQ,1080101404,Hoary catshark,Apristurus canutus
CSG,1080101405,,Apristurus gibbosus
CSW,1080101406,Longfin catshark,Apristurus herklotsi
APD,1080101407,Smallbelly catshark,Apristurus indicus
APV,1080101408,Broadnose catshark,Apristurus investigatoris
CSJ,1080101409,Japanese catshark,Apristurus japonicus
CSZ,1080101410,Longnose catshark,Apristurus kampae
