"year","production_area","country","iso","general_name","species","common_name","sci_name","quantity","aquaculture","log10_aqua","post"
1975,71,"Philippines","PHL","Lobster","SLV","tropical spiny lobsters","Panulirus spp",146,0,0,1
1975,27,"Poland","POL","Salmon","SAL","atlantic salmon","Salmo salar",88,1258,3.09968064110925,1
1975,34,"Portugal","PRT","Lobster","CRW","palinurid spiny lobsters","Palinurus spp",6,0,0,1
1975,27,"Portugal","PRT","Lobster","CRW","palinurid spiny lobsters","Palinurus spp",39,0,0,1
1975,27,"Portugal","PRT","Lobster","LBE","european lobster","Homarus gammarus",4,0,0,1
1975,27,"Portugal","PRT","Lobster","NEP","norway lobster","Nephrops norvegicus",34,0,0,1
1975,34,"Senegal","SEN","Lobster","CRW","palinurid spiny lobsters","Palinurus spp",279,0,0,1
1975,71,"Singapore","SGP","Lobster","LOS","slipper lobsters","Scyllaridae",8,0,0,1
1975,51,"Somalia","SOM","Lobster","SLV","tropical spiny lobsters","Panulirus spp",950,0,0,1
1975,47,"South Africa","ZAF","Lobster","LBC","cape rock lobster","Jasus lalandii",7438,0,0,1
1975,51,"South Africa","ZAF","Lobster","NEM","mozambique lobster","Metanephrops mozambicus",64,0,0,1
1975,51,"South Africa","ZAF","Lobster","SLN","natal spiny lobster","Palinurus delagoae",53,0,0,1
1975,47,"South Africa","ZAF","Lobster","SLS","southern spiny lobster","Palinurus gilchristi",960,0,0,1
1975,34,"Spain","ESP","Lobster","CRW","palinurid spiny lobsters","Palinurus spp",154,0,0,1
1975,27,"Spain","ESP","Lobster","CRW","palinurid spiny lobsters","Palinurus spp",246,0,0,1
1975,37,"Spain","ESP","Lobster","LBE","european lobster","Homarus gammarus",7,0,0,1
1975,27,"Spain","ESP","Lobster","LBE","european lobster","Homarus gammarus",14,0,0,1
1975,37,"Spain","ESP","Lobster","NEP","norway lobster","Nephrops norvegicus",242,0,0,1
1975,34,"Spain","ESP","Lobster","NEP","norway lobster","Nephrops norvegicus",448,0,0,1
1975,27,"Spain","ESP","Lobster","NEP","norway lobster","Nephrops norvegicus",4715,0,0,1
1975,37,"Spain","ESP","Lobster","SLO","common spiny lobster","Palinurus elephas",8,0,0,1
1975,47,"St. Helena","SHN","Lobster","LBT","tristan da cunha rock lobster","Jasus tristani",796,0,0,1
1975,27,"Sweden","SWE","Lobster","LBE","european lobster","Homarus gammarus",31,0,0,1
1975,27,"Sweden","SWE","Lobster","NEP","norway lobster","Nephrops norvegicus",406,0,0,1
1975,5,"Sweden","SWE","Salmon","SAL","atlantic salmon","Salmo salar",17,1258,3.09968064110925,1
1975,27,"Sweden","SWE","Salmon","SAL","atlantic salmon","Salmo salar",644,1258,3.09968064110925,1
1975,61,"Taiwan","TWN","Lobster","LOJ","longlegged spiny lobster","Panulirus longipes",147,0,0,1
1975,57,"Thailand","THA","Lobster","THQ","flathead lobster","Thenus orientalis",31,0,0,1
1975,71,"Thailand","THA","Lobster","THQ","flathead lobster","Thenus orientalis",1624,0,0,1
1975,37,"Tunisia","TUN","Lobster","CRW","palinurid spiny lobsters","Palinurus spp",57,0,0,1
1975,37,"Turkey","TUR","Lobster","LBE","european lobster","Homarus gammarus",5,0,0,1
1975,37,"Turkey","TUR","Lobster","SLO","common spiny lobster","Palinurus elephas",10,0,0,1
1975,31,"Turks & Caicos Islands","TCA","Lobster","SLC","caribbean spiny lobster","Panulirus argus",328,0,0,1
1975,31,"U.S. Virgin Islands","VIR","Lobster","SLC","caribbean spiny lobster","Panulirus argus",22,0,0,1
1975,27,"United Kingdom","GBR","Lobster","CRW","palinurid spiny lobsters","Palinurus spp",57,0,0,1
