"year","production_area","country","iso","general_name","species","common_name","sci_name","quantity","aquaculture","log10_aqua","post"
1976,37,"Turkey","TUR","Lobster","LBE","european lobster","Homarus gammarus",4,0,0,1
1976,37,"Turkey","TUR","Lobster","SLO","common spiny lobster","Palinurus elephas",6,0,0,1
1976,31,"Turks & Caicos Islands","TCA","Lobster","SLC","caribbean spiny lobster","Panulirus argus",319,0,0,1
1976,31,"U.S. Virgin Islands","VIR","Lobster","SLC","caribbean spiny lobster","Panulirus argus",39,0,0,1
1976,27,"United Kingdom","GBR","Lobster","CRW","palinurid spiny lobsters","Palinurus spp",105,0,0,1
1976,27,"United Kingdom","GBR","Lobster","LBE","european lobster","Homarus gammarus",897,0,0,1
1976,27,"United Kingdom","GBR","Lobster","NEP","norway lobster","Nephrops norvegicus",15856,0,0,1
1976,27,"United Kingdom","GBR","Salmon","SAL","atlantic salmon","Salmo salar",1123,1651,3.21774707326279,1
1976,77,"United States","USA","Salmon","CHI","chinook salmon","Oncorhynchus tshawytscha",1088,0,0,0
1976,67,"United States","USA","Salmon","CHI","chinook salmon","Oncorhynchus tshawytscha",12560,0,0,0
1976,67,"United States","USA","Salmon","CHU","chum salmon","Oncorhynchus keta",25771,0,0,0
1976,77,"United States","USA","Salmon","COH","coho salmon","Oncorhynchus kisutch",243,465,2.66745295288995,1
1976,67,"United States","USA","Salmon","COH","coho salmon","Oncorhynchus kisutch",16147,465,2.66745295288995,1
1976,21,"United States","USA","Lobster","LBA","american lobster","Homarus americanus",14280,0,0,1
1976,67,"United States","USA","Salmon","PIN","pink salmon","Oncorhynchus gorbuscha",46462,0,0,0
1976,31,"United States","USA","Lobster","SLC","caribbean spiny lobster","Panulirus argus",2430,0,0,1
1976,77,"United States","USA","Lobster","SLV","tropical spiny lobsters","Panulirus spp",135,0,0,1
1976,67,"United States","USA","Salmon","SOC","sockeye salmon","Oncorhynchus nerka",37948,0,0,0
1976,31,"Venezuela","VEN","Lobster","SLC","caribbean spiny lobster","Panulirus argus",123,0,0,1
