"year","country","genus","species","sci_name","quantity","aquaculture","post","group","year_start"
1950,"CIV","Sardinella","SAA","Sardinella aurita",8000,0,0,0,1984.6
1950,"CMR","Sardinella","SIX","Sardinella spp",4000,0,0,0,1984.6
1950,"COG","Sardinella","SIX","Sardinella spp",2100,0,0,0,1984.6
1950,"COM","Katsuwonus","SKJ","Katsuwonus pelamis",20,0,0,0,1984.6
1950,"COM","Sardinella","SIX","Sardinella spp",100,0,0,0,1984.6
1950,"CUB","Katsuwonus","SKJ","Katsuwonus pelamis",500,0,0,0,1984.6
1950,"CUB","Scomberomorus","KGX","Scomberomorus spp",500,0,0,0,1984.6
1950,"DEU","Clupea","HER","Clupea harengus",220700,0,0,0,1984.6
1950,"DEU","Merluccius","HKE","Merluccius merluccius",500,0,0,0,1984.6
1950,"DEU","Scomber","MAC","Scomber scombrus",2100,0,0,0,1984.6
1950,"DEU","Sprattus","SPR","Sprattus sprattus",4900,0,0,0,1984.6
1950,"DNK","Clupea","HER","Clupea harengus",90900,0,0,0,1984.6
1950,"DNK","Pandalus","PRA","Pandalus borealis",500,0,0,0,1984.6
1950,"DNK","Scomber","MAC","Scomber scombrus",10300,0,0,0,1984.6
1950,"DNK","Sprattus","SPR","Sprattus sprattus",3900,0,0,0,1984.6
1950,"DZA","Engraulis","ANE","Engraulis encrasicolus",5300,0,0,0,1984.6
1950,"DZA","Merluccius","HKE","Merluccius merluccius",900,0,0,0,1984.6
1950,"DZA","Sardina","PIL","Sardina pilchardus",10400,0,0,0,1984.6
1950,"DZA","Scomber","MAC","Scomber scombrus",400,0,0,0,1984.6
1950,"ECU","Katsuwonus","SKJ","Katsuwonus pelamis",2900,0,0,0,1984.6
1950,"EGY","Sardinella","SIX","Sardinella spp",5000,0,0,0,1984.6
1950,"EGY","Sepiidae,","CTL","Sepiidae, Sepiolidae",300,0,0,0,1984.6
1950,"ESP","Auxis","FRZ","Auxis thazard, A. rochei",722,0,0,0,1984.6
1950,"ESP","Engraulis","ANE","Engraulis encrasicolus",36200,0,0,0,1984.6
1950,"ESP","Loliginidae,","SQU","Loliginidae, Ommastrephidae",3500,0,0,0,1984.6
1950,"ESP","Loligo","SQC","Loligo spp",3300,0,0,0,1984.6
1950,"ESP","Merluccius","HKE","Merluccius merluccius",64900,0,0,0,1984.6
1950,"ESP","Micromesistius","WHB","Micromesistius poutassou",23900,0,0,0,1984.6
1950,"ESP","Sardina","PIL","Sardina pilchardus",75800,0,0,0,1984.6
1950,"ESP","Sardinella","SIX","Sardinella spp",3800,0,0,0,1984.6
1950,"ESP","Scomber","MAC","Scomber scombrus",2200,0,0,0,1984.6
1950,"ESP","Sepiidae,","CTL","Sepiidae, Sepiolidae",1000,0,0,0,1984.6
1950,"ESP","Trisopterus","BIB","Trisopterus luscus",2300,0,0,0,1984.6
1950,"FIN","Clupea","HER","Clupea harengus",14300,0,0,0,1984.6
1950,"FIN","Sprattus","SPR","Sprattus sprattus",600,0,0,0,1984.6
1950,"FJI","Rastrelliger","RAG","Rastrelliger kanagurta",100,0,0,0,1984.6
1950,"FRA","Clupea","HER","Clupea harengus",61400,0,0,0,1984.6
1950,"FRA","Engraulis","ANE","Engraulis encrasicolus",100,0,0,0,1984.6
1950,"FRA","Merluccius","HKE","Merluccius merluccius",18200,0,0,0,1984.6
1950,"FRA","Sardina","PIL","Sardina pilchardus",25900,0,0,0,1984.6
1950,"FRA","Scomber","MAC","Scomber scombrus",27900,0,0,0,1984.6
1950,"FRA","Sprattus","SPR","Sprattus sprattus",1600,0,0,0,1984.6
1950,"FRO","Clupea","HER","Clupea harengus",1000,0,0,0,1984.6
1950,"GBR","Clupea","HER","Clupea harengus",180700,0,0,0,1984.6
1950,"GBR","Loligo","SQC","Loligo spp",500,0,0,0,1984.6
1950,"GBR","Merluccius","HKE","Merluccius merluccius",26500,0,0,0,1984.6
1950,"GBR","Sardina","PIL","Sardina pilchardus",4200,0,0,0,1984.6
1950,"GBR","Scomber","MAC","Scomber scombrus",4200,0,0,0,1984.6
1950,"GBR","Sprattus","SPR","Sprattus sprattus",3300,0,0,0,1984.6
1950,"GHA","Sardinella","SIX","Sardinella spp",10000,0,0,0,1984.6
1950,"GLP","Scomberomorus","CER","Scomberomorus regalis",100,0,0,0,1984.6
1950,"GRC","Engraulis","ANE","Engraulis encrasicolus",3000,0,0,0,1984.6
1950,"GRC","Merluccius","HKE","Merluccius merluccius",1500,0,0,0,1984.6
1950,"GRC","Micromesistius","WHB","Micromesistius poutassou",500,0,0,0,1984.6
1950,"GRC","Sardina","PIL","Sardina pilchardus",10000,0,0,0,1984.6
1950,"GRC","Scomber","VMA","Scomber colias",900,0,0,0,1984.6
1950,"GRL","Pandalus","PRA","Pandalus borealis",300,0,0,0,1984.6
1950,"HKG","Decapterus","SDX","Decapterus spp",1000,0,0,0,1984.6
1950,"HKG","Loliginidae,","SQU","Loliginidae, Ommastrephidae",300,0,0,0,1984.6
1950,"HKG","Nemipterus","THB","Nemipterus spp",4000,0,0,0,1984.6
1950,"HKG","Sardinella","SIX","Sardinella spp",1000,0,0,0,1984.6
1950,"HKG","Scomberomorus","KGX","Scomberomorus spp",500,0,0,0,1984.6
1950,"HKG","Sepiidae,","CTL","Sepiidae, Sepiolidae",1000,0,0,0,1984.6
1950,"HKG","Stolephorus","STO","Stolephorus spp",2000,0,0,0,1984.6
1950,"IDN","Auxis","FRZ","Auxis thazard, A. rochei",166,0,0,0,1984.6
1950,"IDN","Decapterus","SDX","Decapterus spp",3300,0,0,0,1984.6
1950,"IDN","Katsuwonus","SKJ","Katsuwonus pelamis",3100,0,0,0,1984.6
1950,"IDN","Loligo","SQC","Loligo spp",500,0,0,0,1984.6
1950,"IDN","Nemipterus","THB","Nemipterus spp",400,0,0,0,1984.6
1950,"IDN","Rastrelliger","RAB","Rastrelliger brachysoma",4500,0,0,0,1984.6
1950,"IDN","Sardinella","SAG","Sardinella gibbosa",2400,0,0,0,1984.6
1950,"IDN","Sardinella","SAM","Sardinella lemuru",1200,0,0,0,1984.6
1950,"IDN","Scomberomorus","COM","Scomberomorus commerson",2081,0,0,0,1984.6
1950,"IDN","Scomberomorus","GUT","Scomberomorus guttatus",333,0,0,0,1984.6
1950,"IDN","Stolephorus","STO","Stolephorus spp",3900,0,0,0,1984.6
1950,"IDN","Tenualosa","TOL","Tenualosa toli",100,0,0,0,1984.6
1950,"IMN","Clupea","HER","Clupea harengus",2000,0,0,0,1984.6
1950,"IND","Auxis","FRZ","Auxis thazard, A. rochei",594,0,0,0,1984.6
1950,"IND","Katsuwonus","SKJ","Katsuwonus pelamis",394,0,0,0,1984.6
1950,"IND","Rastrelliger","RAG","Rastrelliger kanagurta",90000,0,0,0,1984.6
1950,"IND","Sardinella","IOS","Sardinella longiceps",10000,0,0,0,1984.6
1950,"IND","Scomberomorus","COM","Scomberomorus commerson",3029,0,0,0,1984.6
1950,"IND","Scomberomorus","GUT","Scomberomorus guttatus",5787,0,0,0,1984.6
1950,"IND","Scomberomorus","STS","Scomberomorus lineolatus",35,0,0,0,1984.6
1950,"IRL","Clupea","HER","Clupea harengus",3400,0,0,0,1984.6
1950,"IRL","Merluccius","HKE","Merluccius merluccius",100,0,0,0,1984.6
1950,"IRL","Scomber","MAC","Scomber scombrus",1000,0,0,0,1984.6
1950,"IRL","Sprattus","SPR","Sprattus sprattus",400,0,0,0,1984.6
1950,"ISL","Clupea","HER","Clupea harengus",58300,0,0,0,1984.6
1950,"ISR","Merluccius","HKE","Merluccius merluccius",200,0,0,0,1984.6
1950,"ISR","Sardinella","SAA","Sardinella aurita",300,0,0,0,1984.6
1950,"ITA","Auxis","FRZ","Auxis thazard, A. rochei",500,0,0,0,1984.6
1950,"ITA","Engraulis","ANE","Engraulis encrasicolus",28100,0,0,0,1984.6
1950,"ITA","Loligo","SQC","Loligo spp",2000,0,0,0,1984.6
1950,"ITA","Merluccius","HKE","Merluccius merluccius",5400,0,0,0,1984.6
1950,"ITA","Micromesistius","WHB","Micromesistius poutassou",1500,0,0,0,1984.6
1950,"ITA","Sardina","PIL","Sardina pilchardus",27300,0,0,0,1984.6
1950,"ITA","Scomber","MAZ","Scomber spp",9100,0,0,0,1984.6
1950,"ITA","Sepiidae,","CTL","Sepiidae, Sepiolidae",4400,0,0,0,1984.6
1950,"JPN","Ammodytes","PAS","Ammodytes personatus",50000,0,0,0,1984.6
1950,"JPN","Auxis","FRZ","Auxis thazard, A. rochei",10000,0,0,0,1984.6
1950,"JPN","Clupea","HEP","Clupea pallasii",172700,0,0,0,1984.6
1950,"JPN","Cololabis","SAP","Cololabis saira",2e+05,0,0,0,1984.6
