"year","production_area","country","iso","source","species","common_name","sci_name","quantity","value","lobster","salmon","general_name"
2013,41,"Brazil","BRA","Catches","SLC","Caribbean spiny lobster","Panulirus argus",6726,NA,TRUE,FALSE,"Lobster"
2013,31,"British Virgin Islands","VGB","Catches","SLC","Caribbean spiny lobster","Panulirus argus",40,NA,TRUE,FALSE,"Lobster"
2013,34,"Cameroon","CMR","Catches","SLV","Tropical spiny lobsters nei","Panulirus spp",5,NA,TRUE,FALSE,"Lobster"
2013,21,"Canada","CAN","Aquaculture","SAL","Atlantic salmon","Salmo salar",25453,154772426.7,FALSE,TRUE,"Salmon"
2013,67,"Canada","CAN","Aquaculture","SAL","Atlantic salmon","Salmo salar",72176,445541995.7,FALSE,TRUE,"Salmon"
2013,67,"Canada","CAN","Catches","CHI","Chinook(=Spring=King) salmon","Oncorhynchus tshawytscha",546,NA,FALSE,TRUE,"Salmon"
2013,67,"Canada","CAN","Catches","CHU","Chum(=Keta=Dog) salmon","Oncorhynchus keta",2882,NA,FALSE,TRUE,"Salmon"
2013,67,"Canada","CAN","Catches","COH","Coho(=Silver) salmon","Oncorhynchus kisutch",1067,NA,FALSE,TRUE,"Salmon"
2013,21,"Canada","CAN","Catches","LBA","American lobster","Homarus americanus",74686,NA,TRUE,FALSE,"Lobster"
2013,67,"Canada","CAN","Catches","PIN","Pink(=Humpback) salmon","Oncorhynchus gorbuscha",12864,NA,FALSE,TRUE,"Salmon"
2013,67,"Canada","CAN","Catches","SOC","Sockeye(=Red) salmon","Oncorhynchus nerka",347,NA,FALSE,TRUE,"Salmon"
2013,34,"Cape Verde","CPV","Catches","CRW","Palinurid spiny lobsters nei","Palinurus spp",28,NA,TRUE,FALSE,"Lobster"
2013,31,"Caribbean Netherlands","BES","Catches","SLC","Caribbean spiny lobster","Panulirus argus",45,NA,TRUE,FALSE,"Lobster"
2013,87,"Chile","CHL","Aquaculture","CHI","Chinook(=Spring=King) salmon","Oncorhynchus tshawytscha",984,4575600,FALSE,TRUE,"Salmon"
