"year","production_area","country","iso","source","species","common_name","sci_name","quantity","value","lobster","salmon","general_name"
2012,77,"Mexico","MEX","Catches","SLV","Tropical spiny lobsters nei","Panulirus spp",2494,NA,TRUE,FALSE,"Lobster"
2012,71,"Micronesia (Federated States of)","FSM","Catches","SLV","Tropical spiny lobsters nei","Panulirus spp",20,NA,TRUE,FALSE,"Lobster"
2012,37,"Morocco","MAR","Catches","CRW","Palinurid spiny lobsters nei","Palinurus spp",6,NA,TRUE,FALSE,"Lobster"
2012,34,"Morocco","MAR","Catches","CRW","Palinurid spiny lobsters nei","Palinurus spp",502,NA,TRUE,FALSE,"Lobster"
2012,34,"Morocco","MAR","Catches","LBE","European lobster","Homarus gammarus",37,NA,TRUE,FALSE,"Lobster"
2012,34,"Morocco","MAR","Catches","LOS","Slipper lobsters nei","Scyllaridae",87,NA,TRUE,FALSE,"Lobster"
2012,34,"Morocco","MAR","Catches","NEP","Norway lobster","Nephrops norvegicus",1,NA,TRUE,FALSE,"Lobster"
2012,37,"Morocco","MAR","Catches","NEP","Norway lobster","Nephrops norvegicus",2,NA,TRUE,FALSE,"Lobster"
2012,37,"Morocco","MAR","Catches","YLL","Mediterranean slipper lobster","Scyllarides latus",40,NA,TRUE,FALSE,"Lobster"
2012,51,"Mozambique","MOZ","Catches","NEM","Mozambique lobster","Metanephrops mozambicus",130,NA,TRUE,FALSE,"Lobster"
2012,51,"Mozambique","MOZ","Catches","VLO","Spiny lobsters nei","Palinuridae",417,NA,TRUE,FALSE,"Lobster"
2012,47,"Namibia","NAM","Catches","LBC","Cape rock lobster","Jasus lalandii",95,NA,TRUE,FALSE,"Lobster"
2012,27,"Netherlands","NLD","Catches","LBE","European lobster","Homarus gammarus",8,NA,TRUE,FALSE,"Lobster"
2012,27,"Netherlands","NLD","Catches","NEP","Norway lobster","Nephrops norvegicus",1024,NA,TRUE,FALSE,"Lobster"
2012,71,"New Caledonia","NCL","Catches","SLV","Tropical spiny lobsters nei","Panulirus spp",21,NA,TRUE,FALSE,"Lobster"
2012,6,"New Zealand","NZL","Aquaculture","CHI","Chinook(=Spring=King) salmon","Oncorhynchus tshawytscha",1203,7996006.498,FALSE,TRUE,"Salmon"
2012,81,"New Zealand","NZL","Aquaculture","CHI","Chinook(=Spring=King) salmon","Oncorhynchus tshawytscha",11194,74403405.44,FALSE,TRUE,"Salmon"
2012,81,"New Zealand","NZL","Catches","ASA","Australian salmon","Arripis trutta",2467,NA,FALSE,TRUE,"Salmon"
2012,81,"New Zealand","NZL","Catches","IBA","Velvet fan lobster","Ibacus alticrenatus",1,NA,TRUE,FALSE,"Lobster"
2012,81,"New Zealand","NZL","Catches","LOG","Green rock lobster","Jasus verreauxi",31,NA,TRUE,FALSE,"Lobster"
2012,81,"New Zealand","NZL","Catches","LOR","Red rock lobster","Jasus edwardsii",2668,NA,TRUE,FALSE,"Lobster"
2012,81,"New Zealand","NZL","Catches","MEC","New Zealand lobster","Metanephrops challengeri",707,NA,TRUE,FALSE,"Lobster"
2012,77,"Nicaragua","NIC","Catches","LOQ","Craylets, squat lobsters","Galatheidae",2,NA,TRUE,FALSE,"Lobster"
2012,77,"Nicaragua","NIC","Catches","NUG","Green spiny lobster","Panulirus gracilis",178,NA,TRUE,FALSE,"Lobster"
2012,31,"Nicaragua","NIC","Catches","SLC","Caribbean spiny lobster","Panulirus argus",4249,NA,TRUE,FALSE,"Lobster"
2012,34,"Nigeria","NGA","Catches","SLV","Tropical spiny lobsters nei","Panulirus spp",4289,NA,TRUE,FALSE,"Lobster"
2012,61,"North Korea","PRK","Aquaculture","SAL","Atlantic salmon","Salmo salar",15,120000,FALSE,TRUE,"Salmon"
2012,27,"Norway","NOR","Aquaculture","SAL","Atlantic salmon","Salmo salar",1232094.9,4808358066,FALSE,TRUE,"Salmon"
2012,27,"Norway","NOR","Catches","LBE","European lobster","Homarus gammarus",62,NA,TRUE,FALSE,"Lobster"
2012,27,"Norway","NOR","Catches","NEP","Norway lobster","Nephrops norvegicus",243,NA,TRUE,FALSE,"Lobster"
2012,27,"Norway","NOR","Catches","SAL","Atlantic salmon","Salmo salar",262,NA,FALSE,TRUE,"Salmon"
2012,5,"Norway","NOR","Catches","SAL","Atlantic salmon","Salmo salar",440,NA,FALSE,TRUE,"Salmon"
2012,51,"Oman","OMN","Catches","SLV","Tropical spiny lobsters nei","Panulirus spp",243,NA,TRUE,FALSE,"Lobster"
2012,51,"Pakistan","PAK","Catches","SLV","Tropical spiny lobsters nei","Panulirus spp",1246,NA,TRUE,FALSE,"Lobster"
2012,31,"Panama","PAN","Catches","SLV","Tropical spiny lobsters nei","Panulirus spp",47,NA,TRUE,FALSE,"Lobster"
2012,71,"Papua New Guinea","PNG","Catches","SLV","Tropical spiny lobsters nei","Panulirus spp",75,NA,TRUE,FALSE,"Lobster"
