Country,Production_Area,Environment,Species,Year,Quantity,Quantity_Symbol,Value,Value_Symbol
364,4,1,TRR,1985,740,,2220000,
364,4,1,TRR,1986,930,,2790000,
364,4,1,TRR,1987,820,,2460000,
364,4,1,TRR,1988,900,F,2700000,
364,4,1,TRR,1989,1000,,2800000,
364,4,1,TRR,1990,893,,2679000,
364,4,1,TRR,1991,579,,2026500,
364,4,1,TRR,1992,775,,2325000,
364,4,1,TRR,1993,835,,2505000,
364,4,1,TRR,1994,1229,,3687000,
364,4,1,TRR,1995,1500,,4500000,
364,4,1,TRR,1996,1900,,5700000,
364,4,1,TRR,1997,2572,,7716000,
364,4,1,TRR,1998,4994,,14982000,
364,4,1,TRR,1999,7000,,21000000,
364,4,1,FCP,2000,7000,,19600000,
364,4,1,FCP,2001,9915,,27762000,
364,4,1,FCP,2002,13700,,38360000,
364,4,1,FCP,1950,0,-,,
364,4,1,FCP,1951,0,-,,
364,4,1,FCP,1952,0,-,,
364,4,1,FCP,1953,0,-,,
364,4,1,FCP,1954,0,-,,
364,4,1,FCP,1955,0,-,,
364,4,1,FCP,1956,0,-,,
364,4,1,FCP,1957,0,-,,
364,4,1,FCP,1958,0,-,,
364,4,1,FCP,1959,0,-,,
364,4,1,FCP,1960,0,-,,
364,4,1,FCP,1961,0,-,,
364,4,1,FCP,1962,0,-,,
364,4,1,FCP,1963,0,-,,
364,4,1,FCP,1964,0,-,,
364,4,1,FCP,1965,0,-,,
364,4,1,FCP,1966,0,-,,
364,4,1,FCP,1967,0,-,,
364,4,1,FCP,1968,0,-,,
364,4,1,FCP,1969,0,-,,
364,4,1,FCP,1970,0,-,,
364,4,1,FCP,1971,35,F,,
364,4,1,FCP,1972,85,F,,
364,4,1,FCP,1973,136,F,,
364,4,1,FCP,1974,587,F,,
364,4,1,FCP,1975,1038,F,,
364,4,1,FCP,1976,1489,F,,
364,4,1,FCP,1977,1939,F,,
364,4,1,FCP,1978,2390,F,,
364,4,1,FCP,1979,3041,F,,
364,4,1,FCP,1980,3792,F,,
364,4,1,FCP,1981,4243,F,,
364,4,1,FCP,1982,4993,F,,
364,4,1,FCP,1983,5644,F,,
364,4,1,FCP,1984,7269,,18172500,
364,4,1,FCP,1985,7687,,19217500,
364,4,1,FCP,1986,7872,,19680000,
364,4,1,FCP,1987,9479,,18958000,
364,4,1,FCP,1988,7000,,17500000,
364,4,1,FCP,1989,6000,,15000000,
364,4,1,FCP,1990,6563,,16407500,
364,4,1,FCP,1991,5502,,15405600,
364,4,1,FCP,1992,5000,F,14000000,
364,4,1,FCP,1993,4206,,11776800,
364,4,1,FCP,1994,4273,,11964400,
364,4,1,FCP,1995,6561,,18370800,
364,4,1,FCP,1996,6978,,19538400,
380,37,2,GIT,1996,0,-,0,
380,37,2,GIT,1997,0,-,0,
380,37,2,GIT,1998,0,-,0,
380,37,2,GIT,1999,0,-,0,
380,37,2,TIP,2000,0,-,0,
380,37,2,TIP,2001,0,-,0,
380,37,2,TIP,2002,0,-,0,
380,37,2,TIP,1984,0,-,0,
380,37,2,TIP,1985,0,-,0,
380,37,2,TIP,1986,0,-,0,
380,37,2,TIP,1987,0,-,0,
380,37,2,TIP,1988,0,-,0,
380,37,2,TIP,1989,0,-,0,
380,37,2,TIP,1990,0,-,0,
380,37,2,TIP,1991,0,-,0,
380,37,2,TIP,1992,0,-,0,
380,37,2,TIP,1993,0,-,0,
380,37,2,TIP,1994,0,-,0,
380,37,2,TIP,1995,0,-,0,
380,37,2,TIP,1996,1,,17496,
380,37,2,TIP,1997,0,-,0,
380,37,2,TIP,1998,0,-,0,
380,37,2,TIP,1999,0,-,0,
380,37,2,OYF,2000,0,-,0,
380,37,2,OYF,2001,0,-,0,
380,37,2,OYF,2002,0,-,0,
380,37,2,OYF,1981,5000,,,
380,37,2,OYF,1982,5000,,,
380,37,2,OYF,1983,5000,,,
380,37,2,OYF,1984,5000,,15000000,
380,37,2,OYF,1985,5000,,15000000,
380,37,2,OYF,1986,5000,,15000000,
380,37,2,OYF,1987,5000,,17500000,
380,37,2,OYF,1988,3000,,10500000,
380,37,2,OYF,1989,1500,,5250000,
380,37,2,OYF,1990,0,-,0,
380,37,2,OYF,1991,0,-,0,
380,37,2,OYF,1992,0,-,0,
380,37,2,OYF,1993,0,-,0,
380,37,2,OYF,1994,0,-,0,
380,37,2,OYF,1995,0,-,0,
380,37,2,OYF,1996,0,-,0,
380,37,2,OYF,1997,0,-,0,
380,37,2,OYF,1998,0,-,0,
380,37,2,OYF,1999,0,-,0,
380,37,2,OYC,2002,300,,573276,
380,37,3,OYC,2002,2,,3821.84,
380,37,2,MSM,2000,47000,,28895130,
380,37,2,MSM,2001,47000,,24759007.8,
380,37,2,MSM,2002,911,,560173.9,
380,37,2,MSM,1950,0,-,,
380,37,2,MSM,1951,0,-,,
380,37,2,MSM,1952,0,-,,
380,37,2,MSM,1953,0,-,,
380,37,2,MSM,1954,0,-,,
380,37,2,MSM,1955,0,-,,
380,37,2,MSM,1956,5,F,,
380,37,2,MSM,1957,25,F,,
380,37,2,MSM,1958,25,F,,
380,37,2,MSM,1959,100,F,,
380,37,2,MSM,1960,250,F,,
380,37,2,MSM,1961,400,F,,
380,37,2,MSM,1962,500,F,,
380,37,2,MSM,1963,500,F,,
380,37,2,MSM,1964,750,F,,
380,37,2,MSM,1965,1000,F,,
380,37,2,MSM,1966,1200,F,,
380,37,2,MSM,1967,3000,F,,
380,37,2,MSM,1968,3000,F,,
380,37,2,MSM,1969,3500,F,,
380,37,2,MSM,1970,6000,F,,
380,37,2,MSM,1971,9500,,,
380,37,2,MSM,1972,6000,F,,
380,37,2,MSM,1973,5000,F,,
380,37,2,MSM,1974,10000,F,,
380,37,2,MSM,1975,15000,,,
380,37,2,MSM,1976,17105,F,,
380,37,2,MSM,1977,18697,F,,
380,37,2,MSM,1978,20289,F,,
380,37,2,MSM,1979,21882,F,,
380,37,2,MSM,1980,23474,F,,
380,37,2,MSM,1981,25066,F,,
380,37,2,MSM,1982,26658,F,,
380,37,2,MSM,1983,28250,F,,
380,37,2,MSM,1984,30000,,24084780,
380,37,2,MSM,1985,33000,,22565400,
380,37,2,MSM,1986,34000,,27458400,
380,37,2,MSM,1987,34131,,28984045.2,
380,37,2,MSM,1988,43000,,33110000,
380,37,2,MSM,1989,40000,,23328000,
380,37,2,MSM,1990,42100,,35195600,
380,37,2,MSM,1991,45000,,29124000,
380,37,2,MSM,1992,42250,,30990375,
380,37,2,MSM,1993,40000,,25480000,
380,37,2,MSM,1994,35000,,21735000,
380,37,2,MSM,1995,42000,,25788000,
380,37,2,MSM,1996,40000,,25920000,
380,37,2,MSM,1997,41000,,24108000,
380,37,2,MSM,1998,45000,,28512000,
380,37,2,MSM,1999,46000,,24490400,
380,37,3,MSM,2000,47000,,28895130,
380,37,3,MSM,2001,47000,,24759007.8,
380,37,3,MSM,2002,91308,,56145289.2,
380,37,3,MSM,1950,0,-,,
380,37,3,MSM,1951,0,-,,
380,37,3,MSM,1952,0,-,,
380,37,3,MSM,1953,0,-,,
380,37,3,MSM,1954,0,-,,
380,37,3,MSM,1955,0,-,,
364,4,1,SVC,2001,26285,,65712500,
364,4,1,SVC,2002,33977,,84942500,
364,4,1,SVC,1950,0,-,,
364,4,1,SVC,1951,0,-,,
364,4,1,SVC,1952,0,-,,
364,4,1,SVC,1953,0,-,,
364,4,1,SVC,1954,0,-,,
364,4,1,SVC,1955,0,-,,
364,4,1,SVC,1956,0,-,,
364,4,1,SVC,1957,0,-,,
364,4,1,SVC,1958,0,-,,
364,4,1,SVC,1959,0,-,,
364,4,1,SVC,1960,0,-,,
364,4,1,SVC,1961,0,-,,
364,4,1,SVC,1962,0,-,,
364,4,1,SVC,1963,0,-,,
364,4,1,SVC,1964,0,-,,
364,4,1,SVC,1965,0,-,,
364,4,1,SVC,1966,0,-,,
364,4,1,SVC,1967,0,-,,
364,4,1,SVC,1968,0,-,,
364,4,1,SVC,1969,0,-,,
364,4,1,SVC,1970,0,-,,
364,4,1,SVC,1971,0,-,,
364,4,1,SVC,1972,0,-,,
364,4,1,SVC,1973,0,-,,
364,4,1,SVC,1974,0,-,,
364,4,1,SVC,1975,5,F,,
364,4,1,SVC,1976,40,F,,
364,4,1,SVC,1977,80,F,,
364,4,1,SVC,1978,169,F,,
364,4,1,SVC,1979,1081,F,,
364,4,1,SVC,1980,1993,F,,
364,4,1,SVC,1981,2904,F,,
364,4,1,SVC,1982,3816,F,,
364,4,1,SVC,1983,4727,F,,
364,4,1,SVC,1984,6000,F,15000000,
364,4,1,SVC,1985,5700,F,14250000,
364,4,1,SVC,1986,7000,F,17500000,
364,4,1,SVC,1987,8000,F,16000000,
364,4,1,SVC,1988,10500,F,21000000,
364,4,1,SVC,1989,11000,F,22000000,
516,47,3,MUS,1995,10,F,9000,
516,47,3,MUS,1996,10,F,9000,
516,47,3,MUS,1997,10,F,9000,
516,47,3,MUS,1998,10,F,9000,
516,47,3,MUS,1999,10,F,9000,
516,47,3,MUS,2000,10,F,10000,
516,47,3,MUS,2001,10,F,10000,
516,47,3,MUS,2002,10,,10000,
516,47,3,MUS,2003,5,F,12500,
516,47,3,MUS,2004,5,F,12500,
516,47,3,MUS,2005,5,F,12500,
516,47,3,MUS,2006,5,F,12500,
516,47,3,MUS,2007,5,F,14000,
516,47,3,MUS,2008,5,F,14000,
516,47,3,MUS,2009,5,F,14000,
516,47,3,MUS,2010,5,F,14000,
620,27,3,SBG,2000,1815,,14520000,
620,27,3,SBG,2001,1762,,14096000,
620,27,3,SBG,1979,2,F,,
620,27,3,SBG,1980,7,F,,
620,27,3,SBG,1981,8,F,,
620,27,3,SBG,1982,18,F,,
620,27,3,SBG,1983,23,F,,
620,27,3,SBG,1984,35,,335480.04,
620,27,3,SBG,1985,45,,368726.94,
620,27,3,SBG,1986,67,,624739.222,
620,27,3,SBG,1987,67,,663405.994,
620,27,3,SBG,1988,69,,669550.746,
620,27,3,SBG,1989,19,,242290.698,
620,27,3,SBG,1990,105,,1284746.4,
620,27,3,SBG,1991,295,,3966762.93,
620,27,3,SBG,1992,369,,4896067.275,
620,27,3,SBG,1993,289,,2525513.2,
620,27,3,SBG,1994,404,,3434000,
620,27,3,SBG,1995,417,,3544500,
620,27,3,SBG,1996,519,,4411500,
620,27,3,SBG,1997,742,,6232800,
620,27,3,SBG,1998,1221,,10134300,
620,27,3,SBG,1999,1351,,10808000,
620,27,3,SOL,2000,10,,130000,
516,47,3,MSM,2003,5,F,12500,
598,6,1,TLN,2003,15,F,36722.7,
458,4,1,FCP,2012,1830.45,,4303305.7,
598,6,1,TLN,2005,150,F,405000,
598,6,1,TLN,2006,300,F,853939.8,
598,6,1,TLN,2007,400,F,1174268.232,
598,6,1,TLN,2008,600,F,1935488.774,
598,6,1,TLN,2009,800,F,2528498.4,
598,6,1,TLN,2010,1000,,3679101.548,
598,6,1,TRR,2002,30,F,115807.5,
598,6,1,TRR,2003,30,F,126630,
598,6,1,TRR,2004,30,F,139675.5,
598,6,1,TRR,2005,40,F,188000,
598,6,1,TRR,2006,40,F,196308,
598,6,1,TRR,2007,40,F,202460.04,
598,6,1,TRR,2008,50,F,278087.4675,
598,6,1,TRR,2009,50,F,272467.5,
458,4,1,PGP,2011,10892,,25887017.62,
818,1,2,FRF,2013,611,,795358.7231,
458,4,1,GBM,2011,22,,280496.3819,
32,3,1,FCY,2010,89.68,,403560,
458,4,1,FCG,2012,3028.64,,6835780.985,
458,4,1,FGS,2011,0,-,0,
32,3,1,TLP,2010,18.53,,83385,
356,57,3,EMA,2004,1008,,16684.92,
356,57,3,EMA,2005,1080,,24494.4,
356,57,3,EMA,2006,1952,,49823.78496,
356,57,3,EMA,2007,2520,,83951.4753,
356,57,3,EMA,2008,4704,,176783.7817,
458,4,1,FIS,2011,1269,,3103153.049,
458,4,1,BIC,2012,11040.66,,16195745.57,
458,4,1,FRF,2011,7828,,12386144.85,
188,2,1,FCY,2010,0,-,0,
458,4,1,ELJ,2007,0,-,0,
458,4,1,ELJ,2008,0,-,0,
458,4,1,ELJ,2009,0,-,0,
458,4,1,ELJ,2010,0,-,0,
458,4,1,ELJ,2011,0,-,0,
458,4,1,FCH,2012,962.28,,2816940.006,
